code,location,registered,envelops,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
535427	Bakov nad Jizerou	3†922	2†551	2†539	285	3	3	204	1	179	153	27	32	36	2	1	252	2	2	113	864	1	8	42	2	18	4	6	295	4
535443	BÏl· pod BezdÏzem	3†805	2†219	2†204	215	2	0	214	1	107	153	28	33	33	4	4	218	3	4	61	802	3	3	38	0	9	8	7	253	1
535451	Ben·tky nad Jizerou	5†596	3†269	3†254	533	12	2	225	3	176	198	58	24	58	4	3	323	0	1	151	1†041	1	6	77	1	26	10	6	306	9
535478	Bezno	687	402	401	27	1	0	31	0	14	43	3	4	6	0	0	21	0	4	15	121	0	0	69	0	2	1	0	37	2
565750	BÌl· HlÌna	85	61	61	2	0	0	5	0	4	8	1	3	0	0	0	7	0	0	5	13	0	0	0	0	0	0	0	13	0
535486	BÌtouchov	291	195	195	17	0	0	7	0	10	31	0	3	2	0	0	17	1	0	7	79	0	0	4	0	0	0	0	17	0
535508	BoreË	216	97	97	10	0	0	4	0	9	8	0	1	2	0	3	3	0	0	2	43	0	0	2	0	1	1	0	8	0
535516	BoseÚ	382	251	250	23	0	0	12	0	36	11	4	3	5	0	0	24	0	0	6	85	0	0	3	0	2	0	0	36	0
570788	Bradlec	891	705	700	135	4	0	17	1	33	38	8	5	8	0	0	104	0	0	67	211	0	1	9	1	8	5	1	44	0
571946	Branûeû	204	138	137	15	0	0	6	0	27	5	2	3	0	0	0	16	2	0	8	39	0	1	1	0	0	0	0	12	0
535559	Brodce	836	515	513	46	1	1	26	0	44	43	6	1	9	2	0	38	1	2	18	201	0	1	3	0	1	0	2	65	2
535567	B¯ezina	341	239	236	30	0	0	11	0	29	12	0	3	5	0	0	26	0	0	7	83	0	0	4	0	0	0	1	25	0
535583	B¯ezno	721	472	471	60	2	0	36	0	40	23	4	4	14	1	2	57	0	2	26	146	0	3	6	0	3	2	2	37	1
599514	B¯ezovice	240	143	143	19	0	0	18	0	16	10	1	1	0	1	0	10	0	0	2	42	1	2	6	0	0	0	0	14	0
535605	Bukovno	559	346	338	27	0	0	21	0	36	28	7	4	0	0	0	27	0	0	13	130	0	0	3	1	6	4	0	28	3
570991	CtimÏ¯ice	99	74	74	12	1	0	3	0	3	3	1	0	0	0	0	10	0	0	3	31	0	0	0	0	0	2	0	4	1
535621	»achovice	696	367	366	36	2	1	37	2	22	49	3	10	6	0	0	25	0	1	15	106	0	2	8	0	3	0	0	37	1
535630	»ist·	608	368	366	45	0	0	27	1	25	30	2	5	5	1	0	32	0	0	19	117	0	0	4	0	1	2	2	46	2
570818	Dalovice	169	120	120	18	1	1	9	0	10	4	1	5	1	0	0	9	0	0	8	39	0	0	5	0	1	1	0	7	0
535656	Dlouh· Lhota	328	239	235	37	0	0	12	0	17	19	5	0	4	0	0	19	0	0	11	78	0	0	4	0	2	1	0	26	0
535672	Dobrovice	2†630	1†714	1†706	189	6	0	156	3	77	111	35	23	13	1	3	172	1	0	44	673	1	8	37	0	4	4	2	141	2
571989	DoböÌn	212	148	146	14	0	0	9	0	14	9	1	5	0	0	0	16	0	0	3	50	0	2	4	0	2	0	0	16	1
535702	DolnÌ Bousov	2†052	1†289	1†283	121	1	4	91	2	97	85	11	27	14	0	1	146	1	0	32	494	0	6	30	1	7	3	0	106	3
